Price,SqMeter,PrSqMtr,State,Year,Zone,Lat,Lon
275000,85,3235.29411764706,Fair,1960,Gorla,45.5049,9.2224
295000,60,4916.66666666667,Excellent,2023,Turro,45.5001,9.2259
360000,80,4500,Excellent,2023,Turro,45.5001,9.2259
395000,95,4157.8947368421,Excellent,2023,Turro,45.5001,9.2259
259000,50,5180,Poor,1960,Turro,45.4992,9.222
375000,80,4687.5,Excellent,2023,Turro,45.5001,9.2259
317000,60,5283.33333333333,Good,2015,Precotto,45.5125,9.2245
112000,26,4307.69230769231,Fair,-1,Villa San Giovanni,45.5171,9.22426
149000,45,3311.11111111111,Poor,1960,Precotto,45.5155,9.2239
325000,85,3823.52941176471,Fair,1960,Precotto,45.5095,9.2245
249000,50,4980,Good,1950,Rovereto,45.4981,9.22002
249000,52,4788.46153846154,Good,1950,Turro,45.5023,9.2213
430000,142,3028.16901408451,Good,2005,Gorla,45.50529861,9.23147011
390000,110,3545.45454545455,Excellent,2026,Bicocca,45.5146,9.2177
195000,48,4062.5,Good,1970,Gorla,45.5085,9.2242
195000,48,4062.5,Good,1970,Gorla,45.5085,9.2242
305000,155,1967.74193548387,Fair,1970,Turro,45.4971,9.2286
515000,105,4904.7619047619,Good,2009,Gorla,45.5055,9.2215
205000,59,3474.57627118644,Fair,1950,Villa San Giovanni,45.5169,9.2251
460000,98,4693.87755102041,Good,-1,Precotto,45.5111,9.2226
390000,80,4875,Good,1970,Precotto,45.5133,9.2223
655000,130,5038.46153846154,Good,2019,Villa San Giovanni,45.518,9.2216
235000,70,3357.14285714286,Fair,1960,Gorla,45.5068,9.2231
249000,45,5533.33333333333,Good,-1,Villa San Giovanni,45.5186615,9.22749996
269000,80,3362.5,Fair,1970,Villa San Giovanni,45.5178,9.226
240000,55,4363.63636363636,Good,-1,Turro,45.5011,9.2212
259000,58,4465.51724137931,Good,1960,Villa San Giovanni,45.51720047,9.22023964
345000,75,4600,Excellent,2012,Precotto,45.5125,9.2245
400000,100,4000,Fair,1967,Turro,45.499,9.2204
295000,83,3554.21686746988,Good,1960,Cimiano,45.4971,9.2298
395000,110,3590.90909090909,Fair,1960,Turro,45.4962,9.2295
500000,155,3225.8064516129,Good,-1,Gorla,45.5061,9.2306
365000,65,5615.38461538462,Excellent,2022,Turro,45.4995,9.2246
430000,110,3909.09090909091,Fair,-1,Bicocca,45.5151,9.21828
320000,68,4705.88235294118,Fair,2008,Turro,45.5011,9.2212
531000,128,4148.4375,Excellent,2023,Villa San Giovanni,45.5191,9.2283
250000,41,6097.56097560976,Fair,1940,Turro,45.5001,9.2222
2150000,1578,1362.48415716096,Poor,-1,Gorla,45.50510025,9.22900009
135000,28,4821.42857142857,Fair,1900,Turro,45.5001,9.22069
160000,25,6400,Good,1970,Gorla,45.5079,9.2235
350000,65,5384.61538461538,Excellent,2020,Villa San Giovanni,45.5198,9.2246
320000,100,3200,Good,1940,Rovereto,45.4981,9.22
135000,45,3000,Fair,1940,Gorla,45.5061,9.2306
508000,128,3968.75,Excellent,2023,Villa San Giovanni,45.5191,9.2283
349000,79,4417.72151898734,Good,1970,Gorla,45.5085,9.2242
375000,103,3640.77669902913,Fair,1900,Precotto,45.5103,9.2192
950000,146,6506.84931506849,Good,1970,Precotto,45.5119,9.2335
295000,120,2458.33333333333,Good,1970,Precotto,45.5108,9.2295
429000,100,4290,Good,2007,Precotto,45.5105,9.2257
355000,86,4127.90697674419,Good,1960,Precotto,45.512,9.2198
159000,27,5888.88888888889,Good,1940,Turro,45.4994,9.2233
420000,108,3888.88888888889,Poor,1970,Precotto,45.51,9.2283
290000,80,3625,Fair,-1,Precotto,45.5121,9.233
